county,office,district,party,candidate,votes,no_votes
ARAPAHOE,U.S. House,6,Unaffiliated,Dan Chapin,3059,
DOUGLAS,U.S. House,6,Unaffiliated,Dan Chapin,582,
TOTAL,U.S. House,6,Unaffiliated,Dan Chapin,4607,
ADAMS,U.S. House,6,Green Party,Christopher Allen,0,
ARAPAHOE,U.S. House,6,Green Party,Christopher Allen,5,
DOUGLAS,U.S. House,6,Green Party,Christopher Allen,0,
TOTAL,U.S. House,6,Green Party,Christopher Allen,5,
ADAMS,U.S. House,7,Democratic Party,Ed Perlmutter,73382,
JEFFERSON,U.S. House,7,Democratic Party,Ed Perlmutter,130878,
TOTAL,U.S. House,7,Democratic Party,Ed Perlmutter,204260,
ADAMS,U.S. House,7,Republican Party,Mark Barrington,42687,
JEFFERSON,U.S. House,7,Republican Party,Mark Barrington,77047,
TOTAL,U.S. House,7,Republican Party,Mark Barrington,119734,
ADAMS,U.S. House,7,Libertarian Party,Jennifer Nackerud,5490,
JEFFERSON,U.S. House,7,Libertarian Party,Jennifer Nackerud,8522,
TOTAL,U.S. House,7,Libertarian Party,Jennifer Nackerud,14012,
ADAMS,U.S. House,7,Democratic Party,Steve Zorn,12,
JEFFERSON,U.S. House,7,Democratic Party,Steve Zorn,33,
TOTAL,U.S. House,7,Democratic Party,Steve Zorn,45,
ADAMS,U.S. House,7,Green Party,Michael Haughey,6,
JEFFERSON,U.S. House,7,Green Party,Michael Haughey,10,
TOTAL,U.S. House,7,Green Party,Michael Haughey,16,
ADAMS,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,93449,
ALAMOSA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,3039,
ARAPAHOE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,155056,
ARCHULETA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,2800,
BACA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,331,
BENT,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,638,
BOULDER,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,133116,
BROOMFIELD,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,21405,
CHAFFEE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,5461,
CHEYENNE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,138,
CLEAR CREEK,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,2932,
CONEJOS,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1652,
COSTILLA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1012,
CROWLEY,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,400,
CUSTER,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,895,
DELTA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,4817,
DENVER,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,238762,
DOLORES,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,270,
DOUGLAS,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,71573,
EAGLE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,13802,
ELBERT,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,3242,
EL PASO,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,109154,
FREMONT,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,6022,
GARFIELD,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,11791,
GILPIN,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1809,
GRAND,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,3596,
GUNNISON,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,5526,
HINSDALE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,218,
HUERFANO,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1798,
JACKSON,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,176,
JEFFERSON,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,166455,
KIOWA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,94,
KIT CARSON,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,547,
LAKE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1678,
LA PLATA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,15859,
LARIMER,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,98361,
LAS ANIMAS,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,2949,
LINCOLN,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,358,
LOGAN,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1867,
MESA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,23873,
MINERAL,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,259,
MOFFAT,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,946,
MONTEZUMA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,4403,
MONTROSE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,5855,
MORGAN,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,2844,
OTERO,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,2913,
OURAY,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1868,
PARK,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,3645,
PHILLIPS,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,397,
PITKIN,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,7244,
PROWERS,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1090,
PUEBLO,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,33674,
RIO BLANCO,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,488,
RIO GRANDE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1912,
ROUTT,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,8163,
SAGUACHE,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1529,
SAN JUAN,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,271,
SAN MIGUEL,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,3047,
SEDGWICK,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,290,
SUMMIT,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,9499,
TELLER,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,3986,
WASHINGTON,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,294,
WELD,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,46653,
YUMA,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,697,
TOTAL,Governor/Lieutenant Governor,,Democratic Party,Jared Polis / Dianne Primavera,1348888,
ADAMS,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,69465,
ALAMOSA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2696,
ARAPAHOE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,106833,
ARCHULETA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,3736,
BACA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1454,
BENT,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1094,
BOULDER,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,38423,
BROOMFIELD,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,13582,
CHAFFEE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,5018,
CHEYENNE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,809,
CLEAR CREEK,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2215,
CONEJOS,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1756,
COSTILLA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,510,
CROWLEY,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,888,
CUSTER,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1869,
DELTA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,9699,
DENVER,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,60151,
DOLORES,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,868,
DOUGLAS,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,99123,
EAGLE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,7804,
ELBERT,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,10859,
EL PASO,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,155006,
FREMONT,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,12574,
GARFIELD,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,11436,
GILPIN,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1407,
GRAND,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,3837,
GUNNISON,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2927,
HINSDALE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,318,
HUERFANO,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1647,
JACKSON,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,564,
JEFFERSON,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,127038,
KIOWA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,638,
KIT CARSON,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2417,
LAKE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,998,
LA PLATA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,11727,
LARIMER,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,75002,
LAS ANIMAS,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,3008,
LINCOLN,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1619,
LOGAN,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,6349,
MESA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,41193,
MINERAL,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,319,
MOFFAT,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,4228,
MONTEZUMA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,6933,
MONTROSE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,12466,
MORGAN,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,7329,
OTERO,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,4076,
OURAY,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1237,
PARK,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,5452,
PHILLIPS,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1583,
PITKIN,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2354,
PROWERS,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2898,
PUEBLO,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,29545,
RIO BLANCO,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2473,
RIO GRANDE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2795,
ROUTT,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,4787,
SAGUACHE,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1014,
SAN JUAN,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,167,
SAN MIGUEL,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,923,
SEDGWICK,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,859,
SUMMIT,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,4243,
TELLER,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,8409,
WASHINGTON,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,2004,
WELD,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,72886,
YUMA,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,3264,
TOTAL,Governor/Lieutenant Governor,,Republican Party,Walker Stapleton / Lang Sias,1080801,
ADAMS,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2480,
ALAMOSA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,121,
ARAPAHOE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2692,
ARCHULETA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,79,
BACA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,32,
BENT,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,66,
BOULDER,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1127,
BROOMFIELD,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,290,
CHAFFEE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,163,
CHEYENNE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,13,
CLEAR CREEK,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,58,
CONEJOS,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,47,
COSTILLA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,29,
CROWLEY,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,43,
CUSTER,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,32,
DELTA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,165,
DENVER,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2773,
DOLORES,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,17,
DOUGLAS,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1302,
EAGLE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,178,
ELBERT,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,115,
EL PASO,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,3225,
FREMONT,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,310,
GARFIELD,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,230,
GILPIN,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,40,
GRAND,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,73,
GUNNISON,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,70,
HINSDALE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1,
HUERFANO,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,59,
JACKSON,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,5,
JEFFERSON,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,3066,
KIOWA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,13,
KIT CARSON,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,49,
LAKE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,59,
LA PLATA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,177,
LARIMER,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1541,
LAS ANIMAS,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,122,
LINCOLN,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,37,
LOGAN,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,120,
MESA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,672,
MINERAL,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,8,
MOFFAT,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,65,
MONTEZUMA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,88,
MONTROSE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,171,
MORGAN,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,163,
OTERO,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,182,
OURAY,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,20,
PARK,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,101,
PHILLIPS,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,31,
PITKIN,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,48,
PROWERS,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,55,
PUEBLO,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1058,
RIO BLANCO,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,18,
RIO GRANDE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,59,
ROUTT,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,102,
SAGUACHE,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,34,
SAN JUAN,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,4,
SAN MIGUEL,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,21,
SEDGWICK,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,26,
SUMMIT,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,108,
TELLER,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,127,
WASHINGTON,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,32,
WELD,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1591,
YUMA,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,51,
TOTAL,Governor/Lieutenant Governor,,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,25854,
ADAMS,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,5841,
ALAMOSA,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,184,
ARAPAHOE,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,6559,
ARCHULETA,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,161,
BACA,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,56,
BENT,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,73,
BOULDER,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,3596,
BROOMFIELD,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,871,
CHAFFEE,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,291,
CHEYENNE,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,20,
CLEAR CREEK,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,171,
CONEJOS,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,86,
COSTILLA,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,58,
CROWLEY,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,57,
CUSTER,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,67,
DELTA,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,445,
DENVER,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,6832,
DOLORES,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,29,
DOUGLAS,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,4643,
EAGLE,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,542,
ELBERT,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,402,
EL PASO,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,8907,
FREMONT,Governor/Lieutenant Governor,,Libertarian Party,Scott Helker / Michele Poague,675,
